participant_id,video_id,video_sequence,duration_min,labelled_actions,unique_verb_classes,unique_noun_classes,actions_per_min,suggested_use
P01,P01_01,1,27.536,329,24,37,11.948,cut_into_sessions
P01,P01_02,2,8.369,145,16,27,17.326,direct_session
P01,P01_05,5,21.200,259,25,44,12.217,cut_into_sessions
P01,P01_06,6,8.204,119,17,22,14.506,direct_session
P01,P01_09,9,59.518,881,37,59,14.802,cut_into_sessions
P01,P01_11,11,9.359,148,16,23,15.814,direct_session
P01,P01_14,14,22.543,354,28,47,15.703,cut_into_sessions
P01,P01_15,15,15.416,291,19,29,18.877,cut_into_sessions
P01,P01_17,17,19.219,287,22,39,14.933,cut_into_sessions
P01,P01_18,18,61.545,689,33,49,11.195,cut_into_sessions
P01,P01_19,19,7.966,137,16,22,17.197,direct_session
P01,P01_102,102,4.582,127,14,22,27.717,direct_session
P01,P01_104,104,4.094,93,15,12,22.716,direct_session
P01,P01_105,105,35.339,790,33,57,22.355,cut_into_sessions
P01,P01_106,106,12.056,247,23,27,20.487,cut_into_sessions
P01,P01_109,109,61.801,918,38,47,14.854,cut_into_sessions
P02,P02_01,1,3.883,87,14,20,22.405,short_support_session
P02,P02_02,2,3.451,89,15,16,25.792,short_support_session
P02,P02_03,3,20.870,362,33,45,17.346,cut_into_sessions
P02,P02_04,4,7.040,168,17,29,23.864,direct_session
P02,P02_06,6,17.259,371,26,51,21.496,cut_into_sessions
P02,P02_09,9,36.664,573,39,57,15.628,cut_into_sessions
P02,P02_12,12,21.922,371,25,31,16.923,cut_into_sessions
P02,P02_101,101,4.062,111,20,21,27.326,direct_session
P02,P02_102,102,3.785,110,11,22,29.065,short_support_session
P02,P02_104,104,9.453,182,27,37,19.253,direct_session
P02,P02_105,105,6.840,199,21,30,29.095,direct_session
P02,P02_108,108,21.527,451,36,48,20.950,cut_into_sessions
P02,P02_109,109,15.210,187,29,30,12.295,cut_into_sessions
P02,P02_112,112,19.710,317,21,24,16.083,cut_into_sessions
P02,P02_113,113,7.478,184,19,28,24.604,direct_session
P02,P02_118,118,12.941,290,24,39,22.409,cut_into_sessions
P02,P02_120,120,12.307,221,27,43,17.957,cut_into_sessions
P02,P02_121,121,6.552,99,27,14,15.110,direct_session
P02,P02_122,122,12.788,214,28,40,16.734,cut_into_sessions
P02,P02_123,123,23.306,473,34,53,20.295,cut_into_sessions
P02,P02_124,124,3.864,93,16,26,24.068,short_support_session
P02,P02_129,129,18.556,494,39,57,26.623,cut_into_sessions
P02,P02_130,130,18.058,331,35,38,18.330,cut_into_sessions
P02,P02_131,131,11.248,273,25,31,24.270,direct_session
P02,P02_132,132,3.785,89,16,18,23.516,short_support_session
P02,P02_135,135,4.353,116,22,23,26.648,direct_session
P03,P03_02,2,7.110,137,17,21,19.268,direct_session
P03,P03_04,4,27.846,361,27,49,12.964,cut_into_sessions
P03,P03_05,5,3.739,66,15,16,17.653,short_support_session
P03,P03_09,9,10.434,180,17,33,17.251,direct_session
P03,P03_14,14,4.335,43,11,14,9.920,low_priority
P03,P03_16,16,4.528,39,15,12,8.613,low_priority
P03,P03_19,19,9.172,168,17,28,18.316,direct_session
P03,P03_20,20,6.010,74,16,18,12.312,direct_session
P03,P03_23,23,8.494,125,23,25,14.716,direct_session
P03,P03_24,24,13.696,136,19,31,9.930,cut_into_sessions
P03,P03_101,101,14.216,351,30,45,24.690,cut_into_sessions
P03,P03_107,107,4.241,109,20,21,25.699,direct_session
P03,P03_109,109,18.901,411,30,45,21.745,cut_into_sessions
P03,P03_112,112,8.466,171,29,40,20.198,direct_session
P03,P03_117,117,12.048,259,23,34,21.498,cut_into_sessions
P03,P03_119,119,11.206,211,19,31,18.829,direct_session
P03,P03_120,120,13.578,256,30,37,18.854,cut_into_sessions
P03,P03_121,121,6.472,68,16,16,10.506,direct_session
P03,P03_123,123,5.319,98,20,20,18.425,direct_session
P04,P04_01,1,19.246,262,35,41,13.613,cut_into_sessions
P04,P04_02,2,23.960,329,28,41,13.731,cut_into_sessions
P04,P04_03,3,13.364,218,27,42,16.313,cut_into_sessions
P04,P04_04,4,14.302,152,21,30,10.628,cut_into_sessions
P04,P04_05,5,34.478,309,31,48,8.962,cut_into_sessions
P04,P04_06,6,13.138,117,24,32,8.906,short_support_session
P04,P04_09,9,6.856,35,8,17,5.105,low_priority
P04,P04_10,10,19.029,106,18,29,5.570,short_support_session
P04,P04_11,11,4.023,25,12,9,6.215,low_priority
P04,P04_13,13,5.238,41,15,18,7.828,low_priority
P04,P04_16,16,3.617,43,15,16,11.888,low_priority
P04,P04_21,21,3.286,24,9,13,7.304,low_priority
P04,P04_23,23,16.644,93,19,26,5.588,short_support_session
P04,P04_24,24,8.368,64,19,24,7.649,direct_session
P04,P04_25,25,6.359,27,12,13,4.246,low_priority
P04,P04_29,29,7.090,61,18,31,8.603,direct_session
P04,P04_30,30,5.212,50,11,20,9.594,low_priority
P04,P04_31,31,13.758,113,25,41,8.214,short_support_session
P04,P04_33,33,3.068,21,10,11,6.844,low_priority
P04,P04_101,101,9.158,241,32,33,26.316,direct_session
P04,P04_104,104,11.412,294,30,41,25.763,direct_session
P04,P04_106,106,4.222,115,28,20,27.240,direct_session
P04,P04_107,107,24.729,940,44,31,38.013,cut_into_sessions
P04,P04_109,109,16.342,538,46,50,32.921,cut_into_sessions
P04,P04_110,110,12.039,401,37,47,33.307,cut_into_sessions
P04,P04_112,112,8.187,257,32,30,31.391,direct_session
P04,P04_113,113,19.708,517,45,61,26.233,cut_into_sessions
P04,P04_115,115,4.305,133,26,29,30.894,direct_session
P04,P04_116,116,9.561,223,31,31,23.325,direct_session
P04,P04_117,117,5.585,168,28,13,30.082,direct_session
P04,P04_119,119,14.184,288,43,42,20.305,cut_into_sessions
P04,P04_120,120,13.910,376,39,38,27.030,cut_into_sessions
P04,P04_121,121,28.220,717,51,51,25.407,cut_into_sessions
P06,P06_03,3,11.434,128,18,20,11.194,direct_session
