video_id,participant_id,duration_sec,duration_min,fps,resolution,train_actions,validation_actions,test_timestamps,labelled_actions,unique_verb_labels,unique_noun_labels,unique_verb_classes,unique_noun_classes,actions_per_min,labelled_action_coverage
P01_01,P01,1652.153,27.536,59.940,1920x1080,329,0,0,329,33,44,24,37,11.948,0.849
P01_02,P01,502.135,8.369,59.940,1920x1080,145,0,0,145,19,30,16,27,17.326,1.007
P01_03,P01,118.852,1.981,59.940,1920x1080,42,0,0,42,13,16,12,13,21.203,0.685
P01_04,P01,105.238,1.754,59.940,1920x1080,32,0,0,32,15,14,14,14,18.244,0.854
P01_05,P01,1271.988,21.200,59.940,1920x1080,259,0,0,259,34,56,25,44,12.217,0.620
P01_06,P01,492.225,8.204,59.940,1920x1080,119,0,0,119,21,24,17,22,14.506,0.979
P01_07,P01,161.395,2.690,59.940,1920x1080,57,0,0,57,14,24,11,20,21.190,0.767
P01_08,P01,98.966,1.649,59.940,1920x1080,32,0,0,32,16,16,14,15,19.401,0.862
P01_09,P01,3571.068,59.518,59.940,1920x1080,881,0,0,881,58,81,37,59,14.802,0.896
P01_10,P01,139.039,2.317,59.940,1920x1080,26,0,0,26,12,10,10,9,11.220,0.887
P01_101,P01,1831.460,30.524,50.000,1920x1080,0,0,647,0,0,0,0,0,0.000,0.000
P01_102,P01,274.920,4.582,50.000,1920x1080,127,0,0,127,18,23,14,22,27.717,1.109
P01_103,P01,178.020,2.967,50.000,1920x1080,98,0,0,98,19,33,15,29,33.030,0.835
P01_104,P01,245.640,4.094,50.000,1920x1080,93,0,0,93,19,13,15,12,22.716,0.941
P01_105,P01,2120.360,35.339,50.000,1920x1080,790,0,0,790,52,79,33,57,22.355,0.833
P01_106,P01,723.380,12.056,50.000,1920x1080,247,0,0,247,34,35,23,27,20.487,0.975
P01_107,P01,119.440,1.991,50.000,1920x1080,62,0,0,62,19,20,15,19,31.145,0.795
P01_108,P01,139.900,2.332,50.000,1920x1080,66,0,0,66,18,20,16,19,28.306,0.772
P01_109,P01,3708.040,61.801,50.000,1920x1080,918,0,0,918,59,64,38,47,14.854,0.871
P01_11,P01,561.528,9.359,59.940,1920x1080,0,148,0,148,22,26,16,23,15.814,0.881
P01_12,P01,173.807,2.897,59.940,1920x1080,0,62,0,62,12,27,10,23,21.403,0.828
P01_13,P01,93.760,1.563,59.940,1920x1080,0,30,0,30,15,13,13,13,19.198,0.739
P01_14,P01,1352.585,22.543,59.940,1920x1080,0,354,0,354,36,60,28,47,15.703,0.878
P01_15,P01,924.957,15.416,59.940,1920x1080,0,291,0,291,23,34,19,29,18.877,0.992
P01_16,P01,174.624,2.910,59.940,1920x1080,73,0,0,73,11,24,11,22,25.082,0.752
P01_17,P01,1153.119,19.219,59.940,1920x1080,287,0,0,287,31,45,22,39,14.933,0.907
P01_18,P01,3692.673,61.545,59.940,1920x1080,689,0,0,689,46,60,33,49,11.195,0.844
P01_19,P01,477.978,7.966,59.940,1920x1080,137,0,0,137,19,25,16,22,17.197,1.006
P02_01,P02,232.983,3.883,59.940,1920x1080,87,0,0,87,21,23,14,20,22.405,0.713
P02_02,P02,207.040,3.451,59.940,1920x1080,89,0,0,89,18,18,15,16,25.792,0.986
P02_03,P02,1252.185,20.870,59.940,1920x1080,362,0,0,362,65,67,33,45,17.346,0.864
P02_04,P02,422.389,7.040,59.940,1920x1080,168,0,0,168,21,31,17,29,23.864,0.938
P02_05,P02,18.552,0.309,59.940,1920x1080,5,0,0,5,4,3,4,3,16.171,0.502
P02_06,P02,1035.551,17.259,59.940,1920x1080,371,0,0,371,40,66,26,51,21.496,0.834
P02_07,P02,108.575,1.810,59.940,1920x1080,53,0,0,53,19,18,15,16,29.288,1.031
P02_08,P02,66.967,1.116,59.940,1920x1080,33,0,0,33,16,14,12,13,29.567,0.904
P02_09,P02,2199.850,36.664,59.940,1920x1080,573,0,0,573,72,80,39,57,15.628,0.983
P02_10,P02,48.749,0.812,59.940,1920x1080,12,0,0,12,7,5,5,4,14.770,1.023
P02_101,P02,243.720,4.062,50.000,1920x1080,111,0,0,111,26,25,20,21,27.326,0.808
P02_102,P02,227.080,3.785,50.000,1920x1080,110,0,0,110,15,29,11,22,29.065,0.906
P02_103,P02,122.160,2.036,50.000,1920x1080,47,0,0,47,21,18,17,16,23.084,0.776
P02_104,P02,567.180,9.453,50.000,1920x1080,182,0,0,182,38,40,27,37,19.253,0.749
P02_105,P02,410.380,6.840,50.000,1920x1080,199,0,0,199,28,36,21,30,29.095,0.884
P02_106,P02,64.340,1.072,50.000,1920x1080,0,0,26,0,0,0,0,0,0.000,0.000
P02_107,P02,121.460,2.024,50.000,1920x1080,52,0,0,52,19,18,16,14,25.687,0.672
P02_108,P02,1291.640,21.527,50.000,1920x1080,451,0,0,451,62,75,36,48,20.950,0.887
P02_109,P02,912.580,15.210,50.000,1920x1080,187,0,0,187,48,41,29,30,12.295,0.883
P02_11,P02,54.087,0.901,59.940,1920x1080,20,0,0,20,10,8,8,7,22.186,0.726
P02_110,P02,179.240,2.987,50.000,1920x1080,50,0,0,50,15,17,12,14,16.737,0.885
P02_111,P02,52.580,0.876,50.000,1920x1080,17,0,0,17,11,9,11,9,19.399,0.814
P02_112,P02,1182.620,19.710,50.000,1920x1080,317,0,0,317,31,34,21,24,16.083,0.885
P02_113,P02,448.700,7.478,50.000,1920x1080,184,0,0,184,29,31,19,28,24.604,0.850
P02_114,P02,35.700,0.595,50.000,1920x1080,16,0,0,16,9,4,8,4,26.891,0.812
P02_115,P02,106.500,1.775,50.000,1920x1080,45,0,0,45,12,9,11,8,25.352,0.916
P02_116,P02,68.380,1.140,50.000,1920x1080,32,0,0,32,6,5,5,5,28.078,0.853
P02_117,P02,348.380,5.806,50.000,1920x1080,0,0,139,0,0,0,0,0,0.000,0.000
P02_118,P02,776.460,12.941,50.000,1920x1080,290,0,0,290,41,49,24,39,22.409,0.851
P02_119,P02,91.980,1.533,50.000,1920x1080,16,0,0,16,8,9,7,9,10.437,0.387
P02_12,P02,1315.333,21.922,59.940,1920x1080,0,371,0,371,43,41,25,31,16.923,0.887
